AMIE;x;y
681;567071,2999;9824262,333
682;567145,51;9517413,77
683;567180,786;9856344,89
684;567219,6848;9504943,204
685;567220,8022;9839531,75
686;567330,1663;9844112,863
687;567351,387;9850415,892
688;567368,661;9872572,126
689;567389,6769;9889374,581
690;567407;9911308
691;567412;9814079
692;567468,909;9858492,34
693;567498,23;9709700,49
694;567521,24;9511521,15
695;567550;9708960
696;567551;9948272
697;567587,577;9884042,801
698;567603,66;9512242,43
699;567617,2121;9820860,084
700;567621,67;9508273,2
701;567636;9933370
702;567652,51;9843733,19
703;567671;9709209
704;567780,3629;9818827,378
705;567806,393;9861456,386
706;567894;9873803
707;567926;9719649
708;567961,244;9836883,7
709;568017,6965;9816911,326
710;568084,649;9887090,026
711;568117,3856;9841152,72
712;568172,234;9827344,77
713;568189,673;9869983,298
714;568253,734;9869348,948
715;568264,4646;9966522,813
716;568338;9709430
717;568344;9708612
718;568367,28;9848829,656
719;568395,628;9902950,975
720;568614,7907;9819336,823
721;568618;9931272
722;568699,3625;9823098,139
723;568700;9707785
724;568759;9710938
725;568809;9812338
726;568905,046;9839915,105
727;568910,47;9519418,86
728;568915;9708477
729;568962,9486;9826236,094
730;569021,14;9845924,441
731;569086,583;9922406,17
732;569118,8;9872372,912
733;569190,17;9832987,338
734;569191,4928;9889104,043
735;569227;9953602
736;569228,4086;9888201,317
737;569242,74;9706910,13
738;569288,8954;9735718,937
739;569333,42;9863626,213
740;569336,61;9514670,35
741;569343,79;9786869,89
742;569413,991;9888941,265
743;569518,397;9869414,559
744;569550;9816254
745;569564,407;9866615,172
746;569596,676;9852316,308
747;569610,578;9916843,35
748;569670,7486;9963679,482
749;569674,16;9969264,66
750;569781,2496;9886199,262
751;569793;9960343
752;569822,645;9904566,348
753;569829,15;9859881,881
754;569845,73;9911049,519
755;569911;9802059
756;569924,503;9831523,68
757;569932,909;9916165,721
758;569968,7386;9537301,812
759;570038,85;9866369,604
760;570045,8562;9820742,664
761;570056,603;9866873,256
762;570060,3771;9827829,349
763;570063;9866653
764;570121,621;9854822,792
765;570141;9887380
766;570156;9706085
767;570179,362;9829072,481
768;570210,6655;9834529,11
769;570292,591;9867158,468
770;570314,2061;9526838,287
771;570480,749;9866827,575
772;570522,6912;9733884,63
773;570563;9733435
774;570565,8816;9823693,245
775;570607,362;9879913,815
776;570645,0128;9840620,836
777;570707,3804;9734099,497
778;570749,2797;9807926,194
779;570785,63;9758350,72
780;570825,412;9874383,825
781;570825,442;9870457,977
782;570870,2601;9735072,53
783;570874,6356;9882701,768
784;570913;9796227
785;570986,09;9758367,77
786;571013;9807708
787;571017,686;9922320,936
788;571103,205;9863896,235
789;571125,786;9930079,97
790;571131;9925117
791;571131;9925117
792;571175,9063;9838431,426
793;571388,0612;9884547,022
794;571439,8886;9844836,792
795;571493,3513;9835514,367
796;571555;9704143
797;571577,431;9859842,139
798;571589,9136;9889333,865
799;571700;9805319
800;571707;9900266
801;571742,705;9829559,724
802;571904,6007;9950328,905
803;571935,0212;9740101,771
804;571958,836;9874635,45
805;571979,7819;9819578,334
806;571996,7145;9883548,989
807;572049,4494;9824902,56
808;572052;9713383
809;572076,71;9865529,082
810;572121;9850052
811;572217,85;9515075,47
812;572269,1192;9506084,561
813;572270,3952;9815085,552
814;572300,05;9787812,17
815;572307,989;9941665,861
816;572311;9947800
817;572312,6153;9886729,949
818;572337,3015;9886536,503
819;572356,8322;9851274,975
820;572453,668;9906437,766
821;572508,1274;9959835,059
822;572557,8957;9892355,035
823;572581;9801482
824;572618,03;9558240,59
825;572737,4224;9846134,271
826;572764,7427;9537632,632
827;572861,2294;9842530,059
828;572870;9953538
829;573011,02;9886293,797
830;573050;9835082
831;573068;9836665
832;573068,893;9909612,68
833;573121,7804;9825221,555
834;573301,4869;9886017,393
835;573423,4109;9964397,734
836;573503,957;9915761,273
837;573521,29;9510238,13
838;573530,3817;9724637,998
839;573537;9799271
840;573617,528;9889892,292
841;573624,7782;9832974,428
842;573660;9897292
843;573687,85;9786505,49
844;573702,32;9538840,13
845;573716,6367;9886583,733
846;573776,63;9867925,743
847;573826,426;9857575,251
848;573917,144;9941231,827
849;573934,6198;9855387,725
850;573957,841;9904152,886
851;573973;9821462
852;573975;9841030
853;574009,4574;9884776,117
854;574030,795;9861617,617
855;574095,7944;9718276,731
856;574171,2174;9892145,925
857;574179,313;9864538,879
858;574195;9841014
859;574340,0083;9946490,572
860;574343;9798056
861;574426,18;9526931,4
862;574641,431;9870453,556
863;574651;9842387
864;574698,3296;9837174,559
865;574737,3693;9823722,627
866;574745,012;9912606,228
867;574761,6444;9709002,223
868;574762,1487;9833649,591
869;574840,3408;9826814,602
870;574932;9794986
871;574960;9881788
872;575006;9967408
873;575035,086;9902134,634
874;575047;9716682
875;575119,6465;9851479,949
876;575123,217;9923588,884
877;575178,555;9923943,308
878;575188;9804937
879;575210,2677;9824115,498
880;575289;9808065
881;575349;9792320
882;575413,894;9906320,815
883;575427,0078;9887117,019
884;575427,991;9929438,913
885;575428,7858;9954240,399
886;575451,1536;9823707,04
887;575629;9701368
888;575639,07;9798868,32
889;575639,08;9515843,58
890;575682;9755181
891;575682;9909362
892;575715,24;9521114,82
893;575737;9760360
894;575778,862;9964477,412
895;575802,25;9555591,61
896;575815,8474;9885171,68
897;575861,0589;9948937,609
898;575909,639;9847466,565
899;575920,8884;9962067,06
900;575941,51;9761417,55
901;576017,618;9922638,694
902;576033,9655;9839409,491
903;576063,304;9915806,65
904;576078,43;9858089,16
905;576079,46;9551159,07
906;576094,8118;9976160,643
907;576189,0823;9831413,808
908;576224,36;9537502,03
909;576413,1741;9869884,262
910;576667,9395;9950033,702
911;576684,4911;9893769,353
912;576710,4003;9889704,469
913;576729;9774435
914;576774;9853353
915;576837,53;9834385,44
916;576856;9807669
917;576872,88;9522684,3
918;576901,0113;9880928,787
919;576935;9820554
920;576972;9830991
921;576986,8734;9843121,464
922;577026,7;9531018,04
923;577066,111;9904823,253
924;577141;9532565
925;577215,8227;9549351,922
926;577237,3928;9957872,653
927;577289,7138;9823727,921
928;577295,5164;9711306,251
929;577334,256;9864526,168
930;577339,0757;9891393,008
931;577457;9799267
932;577471,3159;9851175,307
933;577508,056;9861001,36
934;577513,674;9884088,211
935;577565,5763;9845881,694
936;577584,4952;9970977,557
937;577638,74;9855355,27
938;577687;9699526
939;577707,1601;9956837,853
940;577778,47;9526912,02
941;577806,23;9530082,69
942;577819;9804026
943;577824,819;9901400,854
944;577986,51;9511244,96
945;577996,9035;9947893,427
946;578046,8537;9891374,437
947;578048,7;9913666,29
948;578112,144;9868493,803
949;578116,0217;9818483,165
950;578130,147;9918509,856
951;578133,09;9800445,36
952;578208,7307;9837321,644
953;578274,87;9874094,91
954;578335,2888;9827123,578
955;578343,059;9909700,58
956;578348;9842037
957;578357,827;9829850,206
958;578442;9928719
959;578451;9877364
960;578514,243;9858888,837
961;578772,667;9922412,202
962;578794,9346;9891933,114
963;578848;9942036
964;578869,43;9847008,85
965;578896,251;9867542,791
966;578987,4221;9963688,071
967;579025,8;9516829,81
968;579116,0377;9843034,843
969;579149,6929;9903987,922
970;579154,477;9946545,312
971;579161,35;9538023,4
972;579167,5665;9978927,039
973;579258;9797794
974;579288,16;9805588,24
975;579374;9851078
976;579389;9744677
977;579418,0961;9886550,346
978;579492;9728380
979;579501,581;9850830,819
980;579570,9109;9825941,001
981;579573,701;9898921,366
982;579640,2278;9871897,72
983;579643;9743597
984;579685,0617;9891871,515
985;579781;9802546
986;579784,67;9909353,428
987;579798,481;9867883,976
988;579837;9828967
989;579853,9305;9831323,568
990;579888;9798753
991;579898,2244;9858356,304
992;579936,293;9864628,79
993;579965;9872447
994;580069;9944020
995;580248,1544;9740462,857
996;580264,991;9920089,985
997;580306,7602;9929153,764
998;580353,579;9828510,78
999;580410;9879329
1000;580491;9781832
1001;580518,705;9887934,91
1002;580650;9848265
1003;580691,0247;9969211,827
1004;580695,73;9539964,47
1005;580712,8363;9860975,534
1006;580721,32;9536033,67
1007;580727,6368;9552201,579
1008;580765,08;9518472,97
1009;580899,44;9539574,63
1010;580942,09;9552253,36
1011;581057,4792;9951636,09
1012;581063;9742073
1013;581155,0813;9888478,049
1014;581167;9742120
1015;581279,1834;9742010,139
1016;581315,678;9915764,633
1017;581351,28;9518149,37
1018;581368,2518;9822906,67
1019;581391,498;9913133,201
1020;581438,2743;9958065,749
1021;581445;9960707
1022;581478,9406;9883660,5
1023;581483,11;9546457,67
1024;581503;9838529
1025;581570,638;9899695,709
1026;581653,22;9854010,27
1027;581699,26;9746477,16
1028;581731,3193;9951356,606
1029;581744;9740445
1030;581744,2;9847326,44
1031;581985,095;9828350,548
1032;581998;9978146
1033;582042;9977647
1034;582066,01;9629267,72
1035;582070,8944;9878086,605
1036;582086;9808886
1037;582092;9944374
1038;582147;9977756
1039;582169,39;9759766,75
1040;582214,76;9857967,37
1041;582264;9818446
1042;582428;9849900,52
1043;582464,4812;9848339,712
1044;582487,543;9903883,978
1045;582490,5352;9874909,197
1046;582532,428;9917180,547
